序号,代码,名称,市场代码简称,最新价(元),涨跌幅(%),涨跌额(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),市盈率(动)(倍),市净率(倍),总市值(元),流通市值(元)
185,002553,南方精工,SZ,15.76,5.07,0.760,15.98,15.11,5.39,2.20,1381.27万,2.16亿,5383.55,3.6257,55.70亿,40.38亿
186,002843,泰嘉股份,SZ,15.14,5.07,0.730,15.58,14.85,5.52,1.31,1381.49万,2.11亿,38.95,2.8346,38.11亿,37.88亿
187,002245,蔚蓝锂芯,SZ,15.88,5.03,0.760,16.47,15.77,5.85,1.30,9400.97万,15.20亿,34.63,3.5128,271.17亿,255.13亿
188,603683,晶华新材,SH,14.01,5.02,0.670,14.35,13.66,14.11,0.93,4065.94万,5.71亿,39.91,2.4546,40.80亿,40.38亿
189,688635,长进光子,SH,210.00,5.00,10.000,225.28,210.00,10.06,1.45,178.71万,3.88亿,247.29,13.1466,196.71亿,37.29亿
190,300782,卓胜微,SZ,67.92,4.94,3.200,70.47,67.61,4.06,1.47,1821.77万,12.59亿,-67.65,2.9629,390.53亿,304.45亿
191,000062,深圳华强,SZ,21.78,4.91,1.020,22.16,21.53,2.88,1.51,3006.86万,6.57亿,28.35,3.3686,227.80亿,227.58亿
192,601101,昊华能源,SH,11.78,4.90,0.550,11.90,10.73,2.04,1.01,2943.48万,3.39亿,13.26,1.4191,169.63亿,169.63亿
193,002291,遥望科技,SZ,5.16,4.88,0.240,5.21,4.88,5.42,1.85,4709.73万,2.40亿,5.30,1.6219,48.25亿,44.85亿
194,603015,弘讯科技,SH,10.13,4.87,0.470,10.32,9.72,1.74,1.34,702.36万,7089.95万,151.31,3.0132,40.95亿,40.95亿
195,300153,科泰电源,SZ,20.09,4.85,0.930,20.37,19.52,3.58,1.62,1140.14万,2.29亿,79.01,7.0276,64.29亿,63.95亿
196,300054,鼎龙股份,SZ,68.68,4.81,3.150,73.33,68.57,6.24,1.09,4640.53万,32.93亿,65.22,12.1996,654.70亿,510.41亿
197,002527,新时达,SZ,10.96,4.78,0.500,11.05,10.61,2.08,1.38,1099.95万,1.19亿,-241.83,5.8425,72.67亿,57.97亿
198,001298,好上好,SZ,16.36,4.74,0.740,16.57,16.02,3.21,1.90,1309.64万,2.13亿,29.96,4.2529,70.76亿,66.65亿
199,000988,华工科技,SZ,95.37,4.69,4.270,99.92,95.37,5.88,1.11,5907.88万,57.75亿,37.55,8.3835,958.95亿,958.45亿
200,002829,星网宇达,SZ,19.42,4.69,0.870,19.77,18.93,10.98,0.91,1604.38万,3.12亿,-38.02,2.6065,40.36亿,28.36亿
